Appid,Title,Early Access,Steam Release Date,Price (USD),Adj. review %,Filtered Reviews,All Reviews,Peak CCU,#Followers,PlayTracker rank,Top seller rank,Adj. review %,Metacritic,Opencritic,Hidden gem,Price (USD),Boxleiter Score (80),Gross Revenue,Company Revenue
620360,Toy Clash,Not current E.A.; former unknown,2017-08-25,14.99,79.2276,35,40,5,342,27542,-1,79.2276,-1,,0.81844,1499,2800,"$41,972.00",29380.4
628530,Blobby Tennis,Not current E.A.; former unknown,2017-05-12,0,62.2567,35,35,11,118,14645,-1,62.2567,-1,,0.530002,0,2800,$0.00,0
645930,Zero Killed,Former E.A.,2020-09-04,14.99,52.8285,35,58,15,854,31150,-1,52.8285,-1,,0.254605,1499,2800,"$41,972.00",29380.4
676510,Industrial Petting,Current E.A.,2020-03-17,19.99,77.342,35,41,20,1245,,4679,77.342,-1,,0.791598,1999,2800,"$55,972.00",39180.4
713420,Crisis on the Planet of the Apes,Not current E.A.; former unknown,2018-04-02,14.99,56.5998,35,35,21,459,26401,-1,56.5998,-1,,0.388915,1499,2800,"$41,972.00",29380.4
725510,Merper VR,Not current E.A.; former unknown,2017-11-02,0,75.4563,35,35,8,423,15507,-1,75.4563,-1,,0.763814,0,2800,$0.00,0
773770,The Way of Kings: Escape the Shattered Plains,Not current E.A.; former unknown,2018-03-02,10.99,56.5998,35,38,5,239,,-1,56.5998,58,,0.388915,1099,2800,"$30,772.00",21540.4
334410,JUMP,Not current E.A.; former unknown,2015-07-30,9.99,56.5998,35,39,4,-1,,-1,56.5998,-1,,0.388915,999,2800,"$27,972.00",19580.4
386690,Fantastic Contraption,Not current E.A.; former unknown,2016-04-05,19.99,66.0281,35,262,89,1840,12667,11663,66.0281,-1,,0.606081,1999,2800,"$55,972.00",39180.4
467400,Go For Launch: Mercury,Current E.A.,2017-10-05,16.99,69.7994,35,46,10,1708,,12732,69.7994,-1,,0.673621,1699,2800,"$47,572.00",33300.4
480690,Inbound,Not current E.A.; former unknown,2016-07-05,2.99,73.5707,35,39,6,464,,-1,73.5707,-1,,0.734981,299,2800,"$8,372.00",5860.4
488360,Vistascapes VR,Not current E.A.; former unknown,2016-07-08,0,47.1715,35,35,6,250,16461,-1,47.1715,-1,,-1,0,2800,$0.00,0
529360,Void Rangers,Former E.A.,2017-05-11,11.99,69.7994,35,36,8,324,25816,-1,69.7994,-1,,0.673621,1199,2800,"$33,572.00",23500.4
529500,ALONE? - VR,Former E.A.,2016-10-07,8.99,56.5998,35,39,17,930,14739,11433,56.5998,-1,,0.388915,899,2800,"$25,172.00",17620.4
553800,Lunar Stone - Origin of Blood,Not current E.A.; former unknown,2016-11-18,4.99,56.5998,35,43,39,557,14525,-1,56.5998,-1,,0.388915,499,2800,"$13,972.00",9780.4
556140,We Are Stars,Not current E.A.; former unknown,2016-12-16,9.99,73.5707,35,38,7,171,,-1,73.5707,-1,,0.734981,999,2800,"$27,972.00",19580.4
585040,Dry Erase: Infinite VR Whiteboard,Not current E.A.; former unknown,2017-07-19,9.99,58.4854,35,36,13,501,27762,-1,58.4854,-1,,0.440988,999,2800,"$27,972.00",19580.4
411620,Pane In The Glass,Not current E.A.; former unknown,2016-08-08,4.99,53.8652,34,34,9,212,14235,-1,53.8652,-1,,0.297629,499,2720,"$13,572.80",9500.96
466900,Hide & Spook: The Haunted Alchemist,Not current E.A.; former unknown,2016-10-28,0,78.989,34,34,6,221,11855,-1,78.989,-1,,0.815091,0,2720,$0.00,0
542520,Lost in the Rift - Reborn,Not current E.A.; former unknown,2016-11-21,4.99,71.2586,34,42,6,-1,13985,-1,71.2586,-1,,0.698002,499,2720,"$13,572.80",9500.96
543580,Pipejob,Not current E.A.; former unknown,2016-10-15,9.99,65.4608,34,37,7,1052,24198,10005,65.4608,-1,,0.595259,999,2720,"$27,172.80",19020.96
572540,Tin Hearts,Current E.A.,2018-11-08,19.99,75.1238,34,49,19,626,25085,12990,75.1238,-1,,0.758809,1999,2720,"$54,372.80",38060.96
580410,Destination: Pluto The VR Experience,Not current E.A.; former unknown,2017-01-20,0,51.9326,34,34,9,187,14455,-1,51.9326,-1,,0.210456,0,2720,$0.00,0
799300,Go Guess,Not current E.A.; former unknown,2018-04-27,0,65.4608,34,34,16,294,15259,-1,65.4608,-1,,0.595259,0,2720,$0.00,0
832080,Google Spotlight Stories: Back to the Moon,Not current E.A.; former unknown,2018-05-02,0,78.989,34,34,65,456,14831,-1,78.989,-1,,0.815091,0,2720,$0.00,0
839020,The Rig: A Starmap to Murder,Not current E.A.; former unknown,2020-06-26,14.99,67.3934,34,39,3,487,,-1,67.3934,-1,,0.631367,1499,2720,"$40,772.80",28540.96
1033120,SEX MOTEL,Not current E.A.; former unknown,2019-05-25,11.99,34.5392,34,37,10,2174,,10841,34.5392,-1,,-1,1199,2720,"$32,612.80",22828.96
1227360,Fighting Clans,Current E.A.,2020-03-03,7.99,61.5956,34,48,2,1474,,10189,61.5956,-1,,0.515509,799,2720,"$21,732.80",15212.96
1352020,Yupitergrad,Not current E.A.; former unknown,2020-08-27,14.99,77.0564,34,47,2,446,,11205,77.0564,-1,,0.787453,1499,2720,"$40,772.80",28540.96
1442300,Rags to Dishes,Not current E.A.; former unknown,2020-11-11,24.99,77.0564,34,41,7,202,,5788,77.0564,-1,,0.787453,2499,2720,"$67,972.80",47580.96
588340,Stolen Steel VR,Not current E.A.; former unknown,2017-02-22,3.99,50,34,38,7,201,23680,12169,50,-1,,-1,399,2720,"$10,852.80",7596.96
589280,Stunt Kite Masters VR,Not current E.A.; former unknown,2017-06-01,4.99,82.8541,34,47,21,176,12959,-1,82.8541,-1,,0.867731,499,2720,"$13,572.80",9500.96
604300,Show Must Go On,Former E.A.,2017-06-01,14.99,69.326,34,36,4,258,25540,11632,69.326,-1,,0.665519,1499,2720,"$40,772.80",28540.96
673900,Avem33,Not current E.A.; former unknown,2017-08-04,0,55.7978,34,34,65,365,14469,-1,55.7978,-1,,0.36452,0,2720,$0.00,0
680950,Let's Bowl VR - Bowling Game,Current E.A.,2017-08-07,17.99,62.8833,33,40,4,281,27368,12639,62.8833,-1,,0.543381,1799,2640,"$47,493.60",33245.52
683000,Evasion,Not current E.A.; former unknown,2018-10-08,19.99,60.9013,33,49,52,1177,21675,-1,60.9013,-1,,0.499838,1999,2640,"$52,773.60",36941.52
